date,symbol,open,close,high,low,movement_class
2025-05-05,NVDA,112.905,113.82,114.665,112.66,1
2025-05-06,NVDA,111.48,113.54,114.74,110.822,1
2025-05-07,NVDA,113.045,117.06,117.68,112.2818,1
2025-05-08,NVDA,118.25,117.37,118.68,115.85,0
2025-05-09,NVDA,117.35,116.65,118.23,115.21,0
2025-05-12,NVDA,121.97,123.0,123.0,120.28,1
2025-05-13,NVDA,124.98,129.93,131.2189,124.47,1
2025-05-14,NVDA,133.195,135.34,135.435,131.68,1
2025-05-15,NVDA,134.295,134.83,136.3,132.66,1
2025-05-16,NVDA,136.22,135.4,136.35,133.46,0
2025-05-19,NVDA,132.39,135.57,135.87,132.39,1
2025-05-20,NVDA,134.29,134.38,134.58,132.62,1
2025-05-21,NVDA,133.06,131.8,137.4,130.59,0
2025-05-22,NVDA,132.23,132.83,134.25,131.55,1
2025-05-23,NVDA,130.0,131.29,132.68,129.16,1
2025-05-27,NVDA,134.15,135.5,135.66,133.31,1
2025-05-28,NVDA,136.025,134.81,137.25,134.79,0
2025-05-29,NVDA,142.245,139.19,143.49,137.91,0
2025-05-30,NVDA,138.715,135.13,139.62,132.92,0
